AAVDB,NCT Number,Title,Drug ID,Status,No of pts,Vector,Safety met,Efficacy met,Administration Therapeutic route ,Administration Therapeutic Area,Phases,Primary Completion
171,NCT03846193,First in Human Study to Evaluate the Safety and Efficacy of GT005 Administered in Subjects With Dry AMD,GT005,Recruiting,10,NA,NA,NA,NA,Ophthalmology,Phase 1/2,1/2/2021
172,NCT02716246,Phase I/II Gene Transfer Clinical Trial of scAAV9.U1a.hSGSH,ABO-102,Recruiting,22,scAAV9,Yes,NA,Intravenous,Metabolic,Phase 1/2,1/12/2019
175,NCT02790723,Safety of Intra-Articular Sc-rAAV2.5IL-1Ra in Subjects With Moderate Knee OA,AAV2IL-1Ra,Recruiting,9,AAV2/5,NA,NA,Intraarticular,Musculoskeletal,Phase 1,1/5/2021
176,NCT03153293,Safety and Efficacy Study of Gene Therapy for The Treatment of Leber?s Hereditary Optic Neuropathy,AAV2-ND4,"Active, not recruiting",142,NA,NA,NA,Intravitreal,Ophthalmology,Phase 2/3,30/06/2019
178,NCT03520751,Phase I/IIa Trial of scAAV1.tMCK.NTF3 for Treatment of CMT1A,scAAV1.tMCK. NTF3,Not yet recruiting,9,scAAV1,NA,NA,Intramuscular,Neurology,Phase 1/2,1/4/2020
179,NCT03375164,Systemic Gene Delivery Clinical Trial for Duchenne Muscular Dystrophy,SRP-9001,"Active, not recruiting",4,AAVrh74,NA,NA,Intramuscular,Musculoskeletal,Phase 1/2,1/4/2021
182,NCT03041324,Ascending Dose Study of Genome Editing by the Zinc Finger Nuclease (ZFN) Therapeutic SB-913 in Subjects With MPS II,SB-913,"Active, not recruiting",9,AAV2/6,Yes,No,NA,Metabolic,Phase 1/2,1/2/2021
183,NCT00126724,Study of Intra-articular Delivery of tgAAC94 in Inflammatory Arthritis Subjects,tgAAC-94,Completed,120,AAV2,NA,No,Intraarticular,Autoimmune,Phase 1/2,1/10/2008
187,NCT02082860,Phase I Gene Therapy Clinical Trial Using the Vector rAAV2/5-PBGD for the Treatment of Acute Intermittent Porphyria,AMT-021,Completed,8,AAV2/5,Yes,No,NA,Hematology,Phase 1,1/7/2014
188,NCT01899092,Safety and Efficacy Study of Single Doses of TT-034 in Patients With Chronic Hepatitis C,TT-034,Completed,9,NA,Yes,No,Intravenous,Virology,Phase 1/2,1/9/2016
189,NCT02652767,Efficacy Study of GS010 for the Treatment of Vision Loss up to 6 Months From Onset in LHON Due to the ND4 Mutation,GS-010,"Active, not recruiting",36,AAV2,Yes,No,Intravitreal,Ophthalmology,Phase 3,1/1/2019
190,NCT02652780,Efficacy Study of GS010 for Treatment of Vision Loss From 7 Months to 1 Year From Onset in LHON Due to the ND4 Mutation,GS-010,Completed,37,AAV2,Yes,No,Intravitreal,Ophthalmology,Phase 3,1/1/2018
191,NCT03003533,A Gene Transfer Study for Hemophilia A,SPK-8011,Recruiting,30,LK200,Yes,Yes,NA,Hematology,Phase 1/2,1/8/2019
194,NCT03652259,Gene Transfer Clinical Trial for LGMD2E (Beta-sarcoglycan Deficiency) Using scAAVrh74.MHCK7.hSGCB,MYO-101,Recruiting,9,AAVrh74,Yes,yes,Intravenous,Musculoskeletal,Phase 1/2,31/12/2020
195,NCT01976091,Gene Transfer Clinical Trial for LGMD2D (Alpha-sarcoglycan Deficiency) Using scAAVrh74.tMCK.hSGCA,MYO-102,Completed,6,AAVrh74,Yes,NA,Intravenous,Musculoskeletal,Phase 1/2,14/03/2019
196,NCT03293524,Efficacy & Safety Study of Bilateral IVT Injection of GS010 in LHON Subjects Due to the ND4 Mutation for up to 1 Year,GS-010,"Active, not recruiting",90,AAV2,NA,NA,Intravitreal,Ophthalmology,Phase 3,30/06/2020
197,NCT00891306,Efficacy and Safety of Human Lipoprotein Lipase (LPL)[S447X] Expressed by an Adeno-Associated Viral Vector in LPL-deficient Subjects,Glybera,Completed,6,AAV1,Yes,yes,Intramuscular,Metabolic,Phase 2/3,1/8/2010
199,NCT03065192,Safety and Efficacy Study of VY-AADC01 for Advanced Parkinson?s Disease,VYAADC-01,"Active, not recruiting",16,AAV2,Yes,Yes,Intracranial,Neurology,Phase 1,1/12/2021
201,NCT01494805,Safety and Efficacy Study of rAAV.sFlt-1 in Patients With Exudative Age-Related Macular Degeneration,AVA-101,Completed,40,AAV2,NA,NA,NA,Ophthalmology,Phase 1/2,1/5/2017
206,NCT03952156,Gene Therapy Clinical Study in Adult PKU,HMI-102,Recruiting,21,AAVHSC15,NA,NA,Intravenous,Metabolic,Phase 1/2,1/6/2021
207,NCT03326336,Dose-escalation Study to Evaluate the Safety and Tolerability of GS030 in Subjects With Retinitis Pigmentosa,GS-030,Recruiting,18,AAV2/7m8,NA,NA,NA,Ophthalmology,Phase 1/2,1/9/2020
211,NCT00617032,Phase 1 Dose Escalation Study of Intra-Articular Administration of tgAAC94, tgAAC94,Completed,15,AAV2,Yes,No,NA,Autoimmune,Phase 1,1/11/2005
213,NCT01474343,Intracerebral Gene Therapy for Sanfilippo Type A Syndrome,LYSSAF-301,Completed,4,AAVrh10,Yes,NA,NA,Metabolic,Phase 1/2,1/5/2013
